column_id,column_name,column_type,section,join_target
pump_motor_max_current_unit_a,Pump motor max current (A),number,,
pump_motor_max_current_magnitude,Pump motor max current (raw magnitude),number,,
pump_motor_max_current_unit,Pump motor max current (raw unit),enum,,
pump_motor_max_power_unit_w,Pump motor max power (W),number,,
pump_motor_max_power_unit_kw,Pump motor max power (kW),number,,
pump_motor_max_power_unit_hp,Pump motor max power (hp),number,,
pump_motor_max_power_magnitude,Pump motor max power (raw magnitude),number,,
pump_motor_max_power_unit,Pump motor max power (raw unit),enum,,
design_flow_unit_m3_s,Design flow (m³/s),number,,
design_flow_unit_l_s,Design flow (L/s),number,,
design_flow_unit_gal_m,Design flow (gal/min (gpm)),number,,
design_flow_unit_m3_h,Design flow (m³/h),number,,
design_flow_unit_l_m,Design flow (L/min),number,,
design_flow_magnitude,Design flow (raw magnitude),number,,
design_flow_unit,Design flow (raw unit),enum,,
design_head_unit_pa,Design head (Pa),number,,
design_head_unit_kpa,Design head (kPa),number,,
design_head_unit_psi,Design head (psi),number,,
design_head_unit_ft_water,Design head (ft H₂O),number,,
design_head_unit_m_water,Design head (m H₂O),number,,
design_head_unit_in_water,Design head (in H₂O),number,,
design_head_unit_cm_water,Design head (cm H₂O),number,,
design_head_magnitude,Design head (raw magnitude),number,,
design_head_unit,Design head (raw unit),enum,,
pump_maximum_flow_unit_m3_s,Maximum flow (Q-max) (m³/s),number,,
pump_maximum_flow_unit_l_s,Maximum flow (Q-max) (L/s),number,,
pump_maximum_flow_unit_gal_m,Maximum flow (Q-max) (gal/min (gpm)),number,,
pump_maximum_flow_unit_m3_h,Maximum flow (Q-max) (m³/h),number,,
pump_maximum_flow_unit_l_m,Maximum flow (Q-max) (L/min),number,,
pump_maximum_flow_magnitude,Maximum flow (Q-max) (raw magnitude),number,,
pump_maximum_flow_unit,Maximum flow (Q-max) (raw unit),enum,,
pump_h_min_unit_pa,Head at maximum flow (H-min) (Pa),number,,
pump_h_min_unit_kpa,Head at maximum flow (H-min) (kPa),number,,
pump_h_min_unit_psi,Head at maximum flow (H-min) (psi),number,,
pump_h_min_unit_ft_water,Head at maximum flow (H-min) (ft H₂O),number,,
pump_h_min_unit_in_water,Head at maximum flow (H-min) (in H₂O),number,,
pump_h_min_unit_cm_water,Head at maximum flow (H-min) (cm H₂O),number,,
pump_h_min_unit_m_water,Head at maximum flow (H-min) (m H₂O),number,,
pump_h_min_magnitude,Head at maximum flow (H-min) (raw magnitude),number,,
pump_h_min_unit,Head at maximum flow (H-min) (raw unit),enum,,
pump_q_min_unit_m3_s,Minimum flow (Q-min) (m³/s),number,,
pump_q_min_unit_l_s,Minimum flow (Q-min) (L/s),number,,
pump_q_min_unit_gal_m,Minimum flow (Q-min) (gal/min (gpm)),number,,
pump_q_min_unit_m3_h,Minimum flow (Q-min) (m³/h),number,,
pump_q_min_unit_l_m,Minimum flow (Q-min) (L/min),number,,
pump_q_min_magnitude,Minimum flow (Q-min) (raw magnitude),number,,
pump_q_min_unit,Minimum flow (Q-min) (raw unit),enum,,
pump_h_max_unit_pa,Head at minimum flow (H-max) (Pa),number,,
pump_h_max_unit_kpa,Head at minimum flow (H-max) (kPa),number,,
pump_h_max_unit_psi,Head at minimum flow (H-max) (psi),number,,
pump_h_max_unit_ft_water,Head at minimum flow (H-max) (ft H₂O),number,,
pump_h_max_unit_in_water,Head at minimum flow (H-max) (in H₂O),number,,
pump_h_max_unit_cm_water,Head at minimum flow (H-max) (cm H₂O),number,,
pump_h_max_unit_m_water,Head at minimum flow (H-max) (m H₂O),number,,
pump_h_max_magnitude,Head at minimum flow (H-max) (raw magnitude),number,,
pump_h_max_unit,Head at minimum flow (H-max) (raw unit),enum,,
pump_npsh_r_unit_pa,NPSH-R (Pa),number,,
pump_npsh_r_unit_kpa,NPSH-R (kPa),number,,
pump_npsh_r_unit_psi,NPSH-R (psi),number,,
pump_npsh_r_unit_ft_water,NPSH-R (ft H₂O),number,,
pump_npsh_r_unit_in_water,NPSH-R (in H₂O),number,,
pump_npsh_r_unit_cm_water,NPSH-R (cm H₂O),number,,
pump_npsh_r_unit_m_water,NPSH-R (m H₂O),number,,
pump_npsh_r_magnitude,NPSH-R (raw magnitude),number,,
pump_npsh_r_unit,NPSH-R (raw unit),enum,,
tank_type,Tank type,enum,,
tank_material,Tank material,enum,,
tank_volume_unit_m3,Tank volume (m³),number,,
tank_volume_unit_l,Tank volume (L),number,,
tank_volume_unit_ft3,Tank volume (ft³),number,,
tank_volume_unit_gal,Tank volume (gal),number,,
tank_volume_unit_mil_m3,Tank volume (Mm³),number,,
tank_volume_unit_mgal,Tank volume (Mgal),number,,
tank_volume_unit_acreft,Tank volume (acre-ft),number,,
tank_volume_magnitude,Tank volume (raw magnitude),number,,
tank_volume_unit,Tank volume (raw unit),enum,,
tank_shape,Tank shape,enum,,
tank_diameter_unit_m,Tank diameter (m),number,,
tank_diameter_unit_ft,Tank diameter (ft),number,,
tank_diameter_unit_cm,Tank diameter (cm),number,,
tank_diameter_unit_in,Tank diameter (in),number,,
tank_diameter_magnitude,Tank diameter (raw magnitude),number,,
tank_diameter_unit,Tank diameter (raw unit),enum,,
tank_height_unit_m,Tank height (m),number,,
tank_height_unit_ft,Tank height (ft),number,,
tank_height_unit_cm,Tank height (cm),number,,
tank_height_unit_in,Tank height (in),number,,
tank_height_magnitude,Tank height (raw magnitude),number,,
