attribute_code,attribute_name,asset_type,standard_data_type,mwater_table,mwater_column_id,mwater_column_name,mwater_column_type,match_method,candidate_count
30227,NPSH-R,Pump,Unit,entities.water_asset,pump_npsh_r_magnitude,NPSH-R (raw magnitude),number,unit_family,1
30301,Tank type,Tank,Choice,entities.water_asset,tank_type,Tank type,enum,exact_name,1
30302,Tank material,Tank,Choice,entities.water_asset,tank_material,Tank material,enum,exact_name,1
30303,Tank volume,Tank,Unit,entities.water_asset,tank_volume_magnitude,Tank volume (raw magnitude),number,unit_family,1
30304,Tank shape,Tank,Choice,entities.water_asset,tank_shape,Tank shape,enum,exact_name,1
30311,Tank diameter,Tank,Unit,entities.water_asset,tank_diameter_magnitude,Tank diameter (raw magnitude),number,unit_family,1
30312,Tank height,Tank,Unit,entities.water_asset,tank_height_magnitude,Tank height (raw magnitude),number,unit_family,1
30313,Tank length,Tank,Unit,entities.water_asset,tank_length_magnitude,Tank length (raw magnitude),number,unit_family,1
30314,Tank width,Tank,Unit,entities.water_asset,tank_width_magnitude,Tank width (raw magnitude),number,unit_family,1
30315,Height of tank bottom,Tank,Unit,entities.water_asset,tank_bottom_height_magnitude,Height of tank bottom (raw magnitude),number,unit_family,1
30316,Minimum water level,Tank,Unit,entities.water_asset,tank_min_level_magnitude,Minimum water level (raw magnitude),number,unit_family,1
30317,Maximum water level,Tank,Unit,entities.water_asset,tank_max_level_magnitude,Maximum water level (raw magnitude),number,unit_family,1
30321,Filling control installed,Tank,Checkbox,entities.water_asset,filling_control_installed,Filling control installed,boolean,exact_name,1
30322,Type of filling control,Tank,Choice,entities.water_asset,type_filling_control,Type of filling control,enum,exact_name,1
30323,Fill level indicator installed,Tank,Checkbox,entities.water_asset,fill_level_indicator_installed,Fill level indicator installed,boolean,exact_name,1
30401,Power type,Power,Choice,entities.water_asset,power_type,Power type,enum,exact_name,1
30402,Rated power output,Power,Unit,entities.water_asset,,,,unmatched,0
30403,Maximum power output,Power,Unit,entities.water_asset,,,,unmatched,0
30404,Nominal voltage,Power,Unit,entities.water_asset,nominal_voltage_magnitude,Nominal voltage (raw magnitude),number,unit_family,1
30405,Rated voltage,Power,Unit,entities.water_asset,rated_voltage_magnitude,Rated voltage (raw magnitude),number,unit_family,1
30406,Maximum current,Power,Unit,entities.water_asset,max_current_magnitude,Maximum current (raw magnitude),number,unit_family,1
30407,Type of current,Power,Choice,entities.water_asset,type_of_current,Type of current,enum,exact_name,1
30408,Frequency of current,Power,Choice,entities.water_asset,frequency_of_current,Frequency of current,enum,exact_name,1
30421,Generator fuel,Power,Choice,entities.water_asset,generator_fuel,Generator fuel,enum,exact_name,1
30422,Generator apparent power,Power,Unit,entities.water_asset,generator_apparent_power_magnitude,Generator apparent power (raw magnitude),number,unit_family,1
30423,Engine cooling system,Power,Choice,entities.water_asset,engine_cooling_system,Engine cooling system,enum,exact_name,1
30424,PV panel type,Power,Choice,entities.water_asset,pv_panel_type,PV panel type,enum,exact_name,1
30425,Total number of PV panels,Power,Number,entities.water_asset,number_pv_panels,Total number of PV panels,number,exact_name,1
30501,Treatment type,Treatment,Choice,entities.water_asset,treatment_type,Treatment type,enum,exact_name,1
30521,Chlorine type,Treatment,Choice,entities.water_asset,chlorine_type,Chlorine type,enum,exact_name,1
30522,Dosing method,Treatment,Choice,entities.water_asset,dosing_method,Dosing method,enum,exact_name,1
30601,Meter ID,Meter,Text,entities.water_asset,meter_id,Meter ID,text,exact_name,1
30602,Meter type,Meter,Choice,entities.water_asset,meter_type,Meter type,enum,exact_name,1
30603,Meter design,Meter,Choice,entities.water_asset,meter_design,Meter design,enum,exact_name,1
30604,Minimum measurable flow rate,Meter,Unit,entities.water_asset,meter_min_flow_rate_magnitude,Minimum measurable flow rate (raw magnitude),number,unit_family,1
30605,Meter measurement type,Meter,Choice,entities.water_asset,meter_measurement_type,Meter measurement type,enum,exact_name,1
30701,Electrical type,Electrical,Choice,entities.water_asset,electrical_type,Electrical type,enum,exact_name,1
30702,Electrical power device type,Electrical,Choice,entities.water_asset,electrical_power_device_type,Electrical power device type,enum,exact_name,1
30801,Valve type,Valve,Choice,entities.water_asset,valve_type,Valve type,enum,exact_name,1
30802,Date of last actuation,Valve,Date,entities.water_asset,date_last_actuation,Date of last actuation,date,exact_name,1
30901,Hydrant type,Hydrant,Choice,entities.water_asset,hydrant_type,Hydrant type,enum,exact_name,1
31001,Junction type,Junction,Choice,entities.water_asset,junction_type,Junction type,enum,exact_name,1
31101,Sampling point type,Sampling point,Choice,entities.water_asset,sampling_point_type,Sampling point type,enum,exact_name,1
31201,Sensor type,Sensor,Choice,entities.water_asset,sensor_type,Sensor type,enum,exact_name,1
31301,Analyzer type,Analyzer,Text,entities.water_asset,analyzer_type,Analyzer type,text,exact_name,1
31401,Structure type,Structure,Choice,entities.water_asset,structure_type,Structure type,enum,exact_name,1
31411,Perimeter type,Structure,Choice,entities.water_asset,perimeter_type,Perimeter type,enum,exact_name,1
31412,Perimeter total length,Structure,Unit,entities.water_asset,perimeter_total_length_magnitude,Perimeter total length (raw magnitude),number,unit_family,1
31413,Perimeter height,Structure,Unit,entities.water_asset,perimeter_height_magnitude,Perimeter height (raw magnitude),number,unit_family,1
31414,Perimeter setback distance,Structure,Unit,entities.water_asset,perimeter_setback_distance_magnitude,Perimeter setback distance (raw magnitude),number,unit_family,1
31501,Water point type,Water point,Choice,entities.water_asset,water_point_type,Water point type,enum,exact_name,1
31502,Agricultural use,Water point,Checkbox,entities.water_asset,agricultural_use,Agricultural use,boolean,exact_name,1
31503,Livestock use,Water point,Checkbox,entities.water_asset,livestock_use,Livestock use,boolean,exact_name,1
31504,Meter installed,Water point,Checkbox,entities.water_asset,meter_installed,Meter installed,boolean,exact_name,1
31505,Number of taps,Water point,Number,entities.water_asset,number_of_taps,Number of taps,number,exact_name,1
31506,Kiosk tank installed,Water point,Checkbox,entities.water_asset,kiosk_tank_installed,Kiosk tank installed,boolean,exact_name,1
31507,Connection type,Water point,Choice,entities.water_asset,connection_type,Connection type,enum,exact_name,1
31508,Connection diameter,Water point,Unit,entities.water_asset,connection_diameter_magnitude,Connection diameter (raw magnitude),number,unit_family,1
39901,Other vertical asset type,Other vertical,Text,entities.water_asset,other_vertical_type,Other vertical asset type,text,exact_name,1
40101,Pipe type,Pipe,Choice,entities.water_asset,pipe_type,Pipe type,enum,exact_name,1
40102,Pipe color,Pipe,Text,entities.water_asset,pipe_color,Pipe color,text,exact_name,1
40103,Nominal pressure,Pipe,Unit,entities.water_asset,nominal_pressure_magnitude,Nominal pressure (raw magnitude),number,unit_family,1
40104,Pipe depth below ground,Pipe,Unit,entities.water_asset,pipe_depth_below_ground_magnitude,Pipe depth below ground (raw magnitude),number,unit_family,1
