column_id,enum_id,enum_name
sampling_point_type,other,Other
sensor_type,level,Level
sensor_type,pressure,Pressure
sensor_type,gas,Gas
sensor_type,rainfall,Rainfall
sensor_type,temperature,Temperature
sensor_type,moisture,Moisture
sensor_type,current,Current
sensor_type,voltage,Voltage
sensor_type,other,Other
gas_measured,hydrogen_sulfide,Hydrogen sulfide (H2S)
gas_measured,methane,Methane (CH4)
gas_measured,oxygen,Oxygen (O2)
gas_measured,ammonia,Ammonia (NH3)
gas_measured,carbon_monoxide,Carbon monoxide (CO)
gas_measured,multi_gas,Multi-gas
gas_measured,other,Other
analyzer_type,ph,pH
analyzer_type,dissolved_oxygen,Dissolved oxygen (DO)
analyzer_type,turbidity,Turbidity
analyzer_type,ammonia,Ammonia
analyzer_type,nitrate,Nitrate
analyzer_type,total_nitrogen_tkn,Total nitrogen or TKN
analyzer_type,phosphorus,Phosphate or total phosphorus
analyzer_type,cod_bod,COD or BOD
analyzer_type,toc,Total organic carbon (TOC)
analyzer_type,suspended_solids,Suspended solids
analyzer_type,orp,ORP
analyzer_type,chlorine,Chlorine
analyzer_type,conductivity,Conductivity
analyzer_type,multiparameter,Multiparameter
analyzer_type,other,Other
transmission_method,none_manual,None (manual download)
transmission_method,cellular,Cellular network
transmission_method,radio,Radio
transmission_method,satellite,Satellite
transmission_method,other,Other
pump_type,submersible_non_clog_vortex,Submersible non-clog/vortex
pump_type,grinder,Grinder
pump_type,screw,Screw (Archimedes)
pump_type,progressive_cavity,Progressive cavity (positive displacement)
pump_type,diaphragm,Diaphragm
pump_type,end_suction_centrifugal,End-suction centrifugal
pump_type,axial_flow,Axial flow
pump_type,manual_pump,Manual pump
pump_type,other,Other
pump_diameter_unit,m,meters
pump_diameter_unit,cm,centimeters
pump_diameter_unit,mm,millimeters
pump_diameter_unit,in,inches
pump_power_rating_unit,w,watts
pump_power_rating_unit,kw,kilowatts
pump_power_rating_unit,hp,horsepower
pump_motor_configuration,integrated,Integrated with pump
pump_motor_configuration,separate,Separate from pump
pump_motor_voltage_type,single_ac,Single phase AC
pump_motor_voltage_type,three_phase_ac,Three phase AC
pump_motor_voltage_type,dc,DC
pump_motor_voltage_unit,v,volts
pump_motor_voltage_unit,kv,kilovolts
pump_motor_max_current_unit,a,amperes
pump_motor_max_power_unit,w,watts
pump_motor_max_power_unit,kw,kilowatts
pump_motor_max_power_unit,hp,horsepower
design_flow_unit,m3_s,cubic meters per second
design_flow_unit,l_s,liters per second
design_flow_unit,gal_m,gallons per minute
design_flow_unit,m3_h,cubic meters per hour
design_flow_unit,l_m,liters per minute
design_head_unit,pa,pascals
design_head_unit,kpa,kilopascals
design_head_unit,psi,pounds per square inch
design_head_unit,ft_water,feet of water (39.2 F)
design_head_unit,m_water,meters of water (4 C)
design_head_unit,in_water,inches of water (39.2 F)
design_head_unit,cm_water,centimeters of water (4 C)
pump_maximum_flow_unit,m3_s,cubic meters per second
pump_maximum_flow_unit,l_s,liters per second
pump_maximum_flow_unit,gal_m,gallons per minute
pump_maximum_flow_unit,m3_h,cubic meters per hour
pump_maximum_flow_unit,l_m,liters per minute
pump_h_min_unit,pa,pascals
pump_h_min_unit,kpa,kilopascals
pump_h_min_unit,psi,pounds per square inch
pump_h_min_unit,ft_water,feet of water (39.2 F)
pump_h_min_unit,in_water,inches of water (39.2 F)
pump_h_min_unit,cm_water,centimeters of water (4 C)
pump_h_min_unit,m_water,meters of water (4 C)
pump_q_min_unit,m3_s,cubic meters per second
pump_q_min_unit,l_s,liters per second
pump_q_min_unit,gal_m,gallons per minute
pump_q_min_unit,m3_h,cubic meters per hour
pump_q_min_unit,l_m,liters per minute
pump_h_max_unit,pa,pascals
pump_h_max_unit,kpa,kilopascals
pump_h_max_unit,psi,pounds per square inch
pump_h_max_unit,ft_water,feet of water (39.2 F)
pump_h_max_unit,in_water,inches of water (39.2 F)
pump_h_max_unit,cm_water,centimeters of water (4 C)
pump_h_max_unit,m_water,meters of water (4 C)
pump_npsh_r_unit,pa,pascals
pump_npsh_r_unit,kpa,kilopascals
pump_npsh_r_unit,psi,pounds per square inch
pump_npsh_r_unit,ft_water,feet of water (39.2 F)
pump_npsh_r_unit,in_water,inches of water (39.2 F)
pump_npsh_r_unit,cm_water,centimeters of water (4 C)
pump_npsh_r_unit,m_water,meters of water (4 C)
tank_type,equalization_or_balancing_tank,Equalization or balancing tank
tank_type,sludge_or_septage_holding_tank,Sludge or septage holding tank
tank_type,chemical_storage_tank,Chemical storage tank
tank_type,effluent_storage_tank,Effluent storage tank
tank_type,wet_well,Wet well
tank_type,portable_tank,Portable tank
tank_type,combined_sewer_overflow_storage,Combined sewer overflow storage (tank or tunnel)
tank_type,other,Other
tank_material,pvc,PVC
tank_material,plastic,Plastic
tank_material,concrete,Concrete
tank_material,aluminum,Aluminum
tank_material,steel,Steel
tank_material,stainless_steel,Stainless steel
tank_material,composite,Composite
tank_material,fiberglass,Fiberglass
tank_material,masonry,Masonry
tank_material,other,Other
tank_volume_unit,m3,cubic meters
tank_volume_unit,l,liters
tank_volume_unit,ft3,cubic feet
tank_volume_unit,gal,gallons
tank_volume_unit,mil_m3,million cubic meters
tank_volume_unit,mgal,million gallons
tank_volume_unit,acreft,acre-feet
tank_shape,cylindrical,Cylindrical
tank_shape,rectangular,Rectangular
tank_shape,other,Other
tank_diameter_unit,m,meters
tank_diameter_unit,ft,feet
tank_diameter_unit,cm,centimeters
tank_diameter_unit,in,inches
tank_height_unit,m,meters
tank_height_unit,ft,feet
tank_height_unit,cm,centimeters
tank_height_unit,in,inches
tank_length_unit,m,meters
