column_id,enum_id,enum_name
tank_type,elevated,Elevated
tank_type,above_ground,Above ground
tank_type,underground,Underground
tank_type,break_pressure,Break pressure
tank_type,portable,Portable
tank_type,other,Other
tank_type,semiburied,Semi-buried
ht_type_deau_stockee,brut,Raw
ht_type_deau_stockee,traitee,Treated
tank_material,pvc,PVC
tank_material,plastic,Plastic
tank_material,concrete,Concrete
tank_material,aluminum,Aluminum
tank_material,steel,Steel
tank_material,composite,Composite
tank_material,fiberglass,Fiberglass
tank_material,masonry,Masonry
tank_material,other,Other
tank_volume_unit,m3,cubic meters
tank_volume_unit,l,liters
tank_volume_unit,ft3,cubic feet
tank_volume_unit,gal,gallon
tank_volume_unit,mil_m3,million cubic meters
tank_volume_unit,mgal,million gallons
tank_volume_unit,acreft,acre-feet
tank_shape,cylindrical,Cylindrical
tank_shape,rectangular,Rectangular
tank_shape,other,Other
tank_location,elevated,Elevated
tank_location,ground,Ground
tank_location,semiburied,Semi-buried
tank_location,underground,Underground
float_switch,wireless,Wireless
float_switch,wired,Wired
tank_purpose,storage,Storage
tank_purpose,break_pressure,Break pressure
tank_purpose,sedimentation,Sedimentation
tank_purpose,equalization,Equalization
tank_purpose,secure_sump,Secure sump
tank_purpose,other,Other
tank_diameter_unit,m,meters
tank_diameter_unit,ft,foot
tank_diameter_unit,cm,centimeters
tank_diameter_unit,in,inches
tank_height_unit,m,meters
tank_height_unit,ft,feet
tank_height_unit,cm,centimeters
tank_height_unit,in,inches
tank_length_unit,m,meters
tank_length_unit,ft,feet
tank_length_unit,in,inches
tank_length_unit,cm,centimeters
tank_width_unit,m,meters
tank_width_unit,ft,feet
tank_width_unit,cm,centimeters
tank_width_unit,in,inches
tank_bottom_height_unit,m,meters
tank_bottom_height_unit,ft,feet
tank_bottom_height_unit,cm,centimeters
tank_bottom_height_unit,in,inches
tank_min_level_unit,m,meters
tank_min_level_unit,ft,feet
tank_min_level_unit,cm,centimeters
tank_min_level_unit,in,inches
tank_max_level_unit,m,meters
tank_max_level_unit,ft,feet
tank_max_level_unit,cm,centimeters
tank_max_level_unit,in,inches
type_filling_control,float_valve,Float valve
type_filling_control,altitude_valve,Altitude valve
type_filling_control,other,Other
rated_power_unit,w,watts
rated_power_unit,kw,kilowatts
rated_power_unit,hp,horsepower
max_power_unit,w,watts
max_power_unit,kw,kilowatts
max_power_unit,hp,horsepower
nominal_voltage_unit,v,volts
nominal_voltage_unit,kv,kilovolts
rated_voltage_unit,v,volts
rated_voltage_unit,kv,kilovolts
max_current_unit,a,amperes
type_of_current,single_phase_ac,Single phase AC
type_of_current,three_phase_ac,Three phase AC
type_of_current,dc,DC
frequency_of_current,sixty_hz,60 Hz
frequency_of_current,fifty_hz,50 Hz
frequency_of_current,other,Other
power_type,grid,Grid
power_type,generator,Generator
power_type,solar,Solar
power_type,wind,Wind
power_type,battery,Battery
power_type,other,Other
power_use,primary,Primary
power_use,supplemental,Supplemental
power_use,backup,Backup
battery_amp_hours_unit,ah,Amp hours
battery_type,alkaline,Alkaline
battery_type,nimh,NiMH
battery_type,lithium_ion,Lithium ion
pv_panel_type,polycrystalline,Polycrystalline
pv_panel_type,monocrystalline,Monocrystalline
pv_panel_type,thin_film,Thin film
pv_panel_type,other,Other
panel_rated_power_unit,w,watts
panel_rated_power_unit,kw,kilowatts
panel_oc_voltage_unit,v,volts
panel_series_fuse_rating_unit,a,amperes
panel_short_circuit_current_unit,a,amperes
panel_voltage_max_unit,v,volts
total_array_rated_power_unit,w,watts
total_array_rated_power_unit,kw,kilowatts
generator_fuel,gasoline,Gasoline or petrol
generator_fuel,diesel,Diesel
generator_fuel,other,Other
generator_apparent_power_unit,w,watts
generator_apparent_power_unit,kw,kilowatts
generator_apparent_power_unit,kva,kilovolt-amps
engine_cooling_system,air,Air
engine_cooling_system,liquid,Liquid
treatment_type,screen,Screen or bar grate
treatment_type,filtration,Filtration
treatment_type,membrane_filtration,Membrane filtration
treatment_type,reverse_osmosis,Reverse osmosis
treatment_type,mixer,Mixer
treatment_type,coagulator,Coagulator
treatment_type,flocculator,Flocculator
treatment_type,clarifier,Clarifier or sedimentation basin
treatment_type,chlorination,Chlorination
treatment_type,disinfection,Disinfection
treatment_type,aeration,Aeration
treatment_type,air_stripping,Air stripping
treatment_type,desalinization,Desalinization
treatment_type,solids_disposal,Solids disposal
treatment_type,chemical_feed,Chemical feed
treatment_type,pre_treatment,Pre-treatment
treatment_type,packaged,Packaged treatment system
treatment_type,other,Other
pre_treatment,chlorination,Chlorination
pre_treatment,aeration,Aeration
pre_treatment,sedimentation,Sedimentation
pre_treatment,other,Other
pre_treatment,na,Not applicable
filtration_type,sand,Sand
filtration_type,zeolite,Zeolite
filtration_type,activated_carbon,Activated carbon
filtration_type,cartridge,Cartridge
filtration_type,other,Other
wm_treatment_type,chlorination,Chlorination
wm_treatment_type,lwts,LWTS
wm_treatment_type,filtration,Filtration (non-LWTS)
wm_treatment_type,reverse_osmosis,Reverse Osmosis
wm_treatment_type,softener,Softener
wm_treatment_type,lwtp,Living Water Treatment Plant (LWTP)
wm_treatment_type,pre_treatment,Pre-treatment
wm_treatment_type,other,Other
chlorine_type,sodium_hypo,Sodium hypochlorite (bleach)
chlorine_type,calcium_hypo,Calcium hypochlorite
chlorine_type,chlorine_gas,Chlorine gas
chlorine_type,chloramine,Chloramine
chlorine_type,chlorine_dioxide,Chlorine dioxide
chlorine_type,acl_90,Trichloroisocyanuric acid (ACL90)
chlorine_type,acl_56,Sodium dichloroisocyanurate (NaDCC/ACL56)
dosing_method,dosing_pump,Dosing pump
dosing_method,drip_feed,Drip feed
dosing_method,constant_head_aspirator,Constant head aspirator
dosing_method,gravity_feed,Gravity feed
dosing_method,batch_mixing,Batch mixing
dosing_method,tablet_or_cartridge,Tablet or cartridge
dosing_method,other,Other
meter_type,bulk,Bulk
meter_type,domestic,Domestic
meter_type,commercial,Commercial or industrial
meter_type,production,Production
meter_type,other,Other
meter_design,turbine,Turbine
meter_design,displacement,Displacement
meter_design,ultrasonic,Ultrasonic
meter_design,electromagnetic,Electromagnetic
meter_design,jet,Jet
meter_design,other,Other
meter_min_flow_rate_unit,m3_s,cubic meters per second
meter_min_flow_rate_unit,m3_d,cubic meters per day
meter_min_flow_rate_unit,l_s,liters per second
meter_min_flow_rate_unit,l_d,liters per day
meter_min_flow_rate_unit,gal_m,gallons per minute
meter_min_flow_rate_unit,gal_d,gallons per day
