attribute_code,attribute_name,asset_type,standard_data_type,mwater_table,mwater_column_id,mwater_column_name,mwater_column_type,match_method,candidate_count
31703,Tank or load capacity,Vehicle,Unit,entities.sanitation_asset,load_capacity_magnitude,Tank or load capacity (raw magnitude),number,unit_family,1
31704,Vacuum pump fitted,Vehicle,Checkbox,entities.sanitation_asset,vacuum_pump_fitted,Vacuum pump fitted,boolean,exact_name,1
31801,Manhole type,Manhole,Choice,entities.sanitation_asset,manhole_type,Manhole type,enum,exact_name,1
31802,Chamber depth,Manhole,Unit,entities.sanitation_asset,chamber_depth_magnitude,Chamber depth (raw magnitude),number,unit_family,1
31803,Cover shape,Manhole,Choice,entities.sanitation_asset,cover_shape,Cover shape,enum,exact_name,1
31804,Cover diameter,Manhole,Unit,entities.sanitation_asset,cover_diameter_magnitude,Cover diameter (raw magnitude),number,unit_family,1
31807,Cover length,Manhole,Unit,entities.sanitation_asset,cover_length_magnitude,Cover length (raw magnitude),number,unit_family,1
31808,Cover width,Manhole,Unit,entities.sanitation_asset,cover_width_magnitude,Cover width (raw magnitude),number,unit_family,1
31805,Cover load class,Manhole,Choice,entities.sanitation_asset,cover_load_class,Cover load class,enum,exact_name,1
31806,Access aid type,Manhole,Choice,entities.sanitation_asset,access_aid_type,Access aid type,enum,exact_name,1
31001,Junction type,Junction,Choice,entities.sanitation_asset,junction_type,Junction type,enum,exact_name,1
30801,Valve type,Valve,Choice,entities.sanitation_asset,valve_type,Valve type,enum,exact_name,1
30802,Date of last actuation,Valve,Date,entities.sanitation_asset,date_last_actuation,Date of last actuation,date,exact_name,1
32101,Flow control element type,Flow control,Choice,entities.sanitation_asset,overflow_type,Flow control element type,enum,exact_name,1
32102,Flow control function,Flow control,Choice,entities.sanitation_asset,overflow_function,Flow control function,enum,exact_name,1
31401,Structure type,Structure,Choice,entities.sanitation_asset,structure_type,Structure type,enum,exact_name,1
31411,Perimeter type,Structure,Choice,entities.sanitation_asset,perimeter_type,Perimeter type,enum,exact_name,1
31412,Perimeter total length,Structure,Unit,entities.sanitation_asset,perimeter_total_length_magnitude,Perimeter total length (raw magnitude),number,unit_family,1
31413,Perimeter height,Structure,Unit,entities.sanitation_asset,perimeter_height_magnitude,Perimeter height (raw magnitude),number,unit_family,1
31414,Perimeter setback distance,Structure,Unit,entities.sanitation_asset,perimeter_setback_distance_magnitude,Perimeter setback distance (raw magnitude),number,unit_family,1
30401,Power type,Power,Choice,entities.sanitation_asset,power_type,Power type,enum,exact_name,1
30402,Rated power output,Power,Unit,entities.sanitation_asset,rated_power_magnitude,Rated power output (raw magnitude),number,unit_family,1
30403,Maximum power output,Power,Unit,entities.sanitation_asset,max_power_magnitude,Maximum power output (raw magnitude),number,unit_family,1
30404,Nominal voltage,Power,Unit,entities.sanitation_asset,nominal_voltage_magnitude,Nominal voltage (raw magnitude),number,unit_family,1
30405,Rated voltage,Power,Unit,entities.sanitation_asset,rated_voltage_magnitude,Rated voltage (raw magnitude),number,unit_family,1
30406,Maximum current,Power,Unit,entities.sanitation_asset,max_current_magnitude,Maximum current (raw magnitude),number,unit_family,1
30407,Type of current,Power,Choice,entities.sanitation_asset,type_of_current,Type of current,enum,exact_name,1
30408,Frequency of current,Power,Choice,entities.sanitation_asset,frequency_of_current,Frequency of current,enum,exact_name,1
30421,Generator fuel,Power,Choice,entities.sanitation_asset,generator_fuel,Generator fuel,enum,exact_name,1
30422,Generator apparent power,Power,Unit,entities.sanitation_asset,generator_apparent_power_magnitude,Generator apparent power (raw magnitude),number,unit_family,1
30423,Engine cooling system,Power,Choice,entities.sanitation_asset,engine_cooling_system,Engine cooling system,enum,exact_name,1
