code,name,scope,asset_class,asset_type,asset_type_id,data_type,unit_quantity,si_unit,description,applicability,required,attribute_group
31702,Registration number,type_specific,,Vehicle,vehicle,Text,,,Official license plate or registration number issued to the vehicle by a government authority,,,Vehicle info
31703,Tank or load capacity,type_specific,,Vehicle,vehicle,Unit,Volume,m³,"Maximum volume of faecal sludge, septage, or wastewater that the vehicle's tank or load bed can hold",,,Vehicle info
31704,Vacuum pump fitted,type_specific,,Vehicle,vehicle,Checkbox,,,"Whether the vehicle is equipped with a vacuum pump used to suction faecal sludge, septage, or wastewater from a containment system",,,Vehicle info
31801,Manhole type,type_specific,,Manhole,manhole,Choice,,,Categorization of the manhole by its access function,,,Manhole info
31802,Chamber depth,type_specific,,Manhole,manhole,Unit,Length,m,Vertical distance from the manhole cover to the invert or floor of the chamber,,,Manhole info
31803,Cover shape,type_specific,,Manhole,manhole,Choice,,,Shape of the manhole cover and frame,,,Manhole info
31804,Cover diameter,type_specific,,Manhole,manhole,Unit,Length,m,Nominal diameter of a round manhole cover,Cover shape: Round,,Manhole info
31807,Cover length,type_specific,,Manhole,manhole,Unit,Length,m,"Length of a rectangular manhole cover, measured along its longer side",Cover shape: Rectangular,,Manhole info
31808,Cover width,type_specific,,Manhole,manhole,Unit,Length,m,"Width of a rectangular manhole cover, measured along its shorter side",Cover shape: Rectangular,,Manhole info
31805,Cover load class,type_specific,,Manhole,manhole,Choice,,,Load-bearing classification of the manhole cover per EN 124,,,Manhole info
31806,Access aid type,type_specific,,Manhole,manhole,Choice,,,"Type of fixed steps, ladder, or rungs installed inside the chamber for entry",,,Manhole info
31001,Junction type,type_specific,,Junction,junction,Choice,,,Type of fitting used where two or more pipes or conduits connect,,,Junction info
30801,Valve type,type_specific,,Valve,valve,Choice,,,"Purpose or design of a valve used to close off or regulate the flow of wastewater, sludge, or air in a pipe or closed conduit",,,Valve info
30802,Date of last actuation,type_specific,,Valve,valve,Date,,,Most recent date that the valve was actuated to prevent degradation and verify functionality,,,Valve info
32101,Flow control element type,type_specific,,Flow control,flow_control,Choice,,,"Physical form of the flow control element, independent of the function it serves (32102)",,,Flow control info
32102,Flow control function,type_specific,,Flow control,flow_control,Choice,,,"Primary hydraulic function the flow control element serves in the system, independent of its physical form (32101)",,,Flow control info
31401,Structure type,type_specific,,Structure,structure,Choice,,,Type of ancillary structure present at a sanitation asset site,,,Structure info
31411,Perimeter type,type_specific,,Structure,structure,Choice,,,Type of perimeter design,Structure type: Perimeter,,Perimeter data
31412,Perimeter total length,type_specific,,Structure,structure,Unit,Length,m,Total length of the entire perimeter that is being defined as an asset,Structure type: Perimeter,,Perimeter data
31413,Perimeter height,type_specific,,Structure,structure,Unit,Length,m,Typical or minimum height of the perimeter,Structure type: Perimeter,,Perimeter data
31414,Perimeter setback distance,type_specific,,Structure,structure,Unit,Length,m,Typical or minimum distance from the perimeter from the structure or equipment it is designed to protect,Structure type: Perimeter,,Perimeter data
30401,Power type,type_specific,,Power,power,Choice,,,Categorization of the power generating device based on design or principles of operation,,,Power info
30402,Rated power output,type_specific,,Power,power,Unit,Power,W,Power output that can be sustained for long periods of time; for generators this is the continuous power rating,,,Power info
30403,Maximum power output,type_specific,,Power,power,Unit,Power,W,"Power output that can be provided for short periods of time in response to surges in demand; for generators, sometimes referred to as the standby or intermittent power rating",,,Power info
30404,Nominal voltage,type_specific,,Power,power,Unit,Voltage,V,Voltage assigned to a system or circuit of a given voltage class for the purpose of convenient designation; the actual operating voltage may vary above or below this value,,,Power info
30405,Rated voltage,type_specific,,Power,power,Unit,Voltage,V,Maximum voltage at which the power system can be operated within thermal and safety limits,,,Power info
30406,Maximum current,type_specific,,Power,power,Unit,Current,A,"Maximum safe current, or starting current, that can be supplied for a short period of time",,,Power info
30407,Type of current,type_specific,,Power,power,Choice,,,Mode of transmission for electrical current (AC/DC),,,Power info
30408,Frequency of current,type_specific,,Power,power,Choice,,,"Frequency at which the voltage rises to a peak, reverses, and rises to a peak again",,,Power info
30421,Generator fuel,type_specific,,Power,power,Choice,,,Type of fuel required by the generator,Power type: Generator,,Generator data
30422,Generator apparent power,type_specific,,Power,power,Unit,Power,W,"Product of the voltage and current provided in an AC power system, which does not account for the reactive power required by inductive loads in the circuit; sometimes referred to by its most common unit of measurement: kVA",Power type: Generator,,Generator data
30423,Engine cooling system,type_specific,,Power,power,Choice,,,Type of cooling system used by the generator engine,Power type: Generator,,Generator data
30424,PV panel type,type_specific,,Power,power,Choice,,,Photovoltaic panel type,Power type: Solar,,Solar power data
30425,Total number of PV panels,type_specific,,Power,power,Number,,,Total number of photovoltaic panels installed in the power system,Power type: Solar,,Solar power data
30701,Electrical type,type_specific,,Electrical,electrical,Choice,,,Type of electrical asset,,,Electrical info
30702,Electrical power device type,type_specific,,Electrical,electrical,Choice,,,Classification of electrical power device based on purpose or mode of operation,Electrical type: Power device,,Electrical info
30601,Meter ID,type_specific,,Meter,meter,Text,,,Identification number or code used by the service provider to identify the meter,,,Meter info
30602,Meter type,type_specific,,Meter,meter,Choice,,,"Location or function of the flow being measured within the wastewater, effluent, or sludge stream",,,Meter info
30603,Meter design,type_specific,,Meter,meter,Choice,,,Design or operating principle of the meter,,,Meter info
30604,Minimum measurable flow rate,type_specific,,Meter,meter,Unit,Flow rate,m³/s,Lowest flow rate that can be measured by the meter,,,Meter info
30605,Meter measurement type,type_specific,,Meter,meter,Choice,,,"Type of measurement displayed by the meter (total volume, flow rate, or both)",,,Meter info
31101,Sampling point type,type_specific,,Sampling point,sampling_point,Choice,,,"Location in the wastewater or faecal sludge stream where a sample is collected for water quality or process testing, including regulatory compliance points",,,Sampling point info
31102,Regulatory compliance point,type_specific,,Sampling point,sampling_point,Checkbox,,,Sampling point designated for regulatory compliance monitoring under a discharge permit or national monitoring program,,,Sampling point info
31103,Autosampler installed,type_specific,,Sampling point,sampling_point,Checkbox,,,A fixed automatic sampler is installed at this point to collect composite or sequential samples,,,Sampling point info
31201,Sensor type,type_specific,,Sensor,sensor,Choice,,,Physical or field parameter measured by the sensor,,,Sensor info
31202,Gas measured,type_specific,,Sensor,sensor,Choice,,,Gas or gases that the sensor measures,Sensor type: Gas,,Sensor info
31203,Gases measured,type_specific,,Sensor,sensor,Text,,,"Gases that a multi-gas instrument measures, separated by commas — for example: hydrogen sulfide, methane, oxygen. Use the names given in Gas measured where they apply",Gas measured: Multi-gas,,Sensor info
31301,Analyzer type,type_specific,,Analyzer,analyzer,Choice,,,Water quality or process parameter measured by the analyzer,,,Analyzer info
31302,Parameters measured,type_specific,,Analyzer,analyzer,Text,,,"Parameters that a multiparameter analyzer measures, separated by commas",Analyzer type: Multiparameter,,Analyzer info
32301,Transmission method,type_specific,,Datalogger,datalogger,Choice,,,Method by which recorded data are transmitted from the datalogger to the systems or staff that use them,,,Datalogger info
30201,Pump type,type_specific,,Pump,pump,Choice,,,"Description of the pump mechanism or operating principle used to empty, convey, or transfer wastewater or faecal sludge",,,Pump info
30202,Pump diameter,type_specific,,Pump,pump,Unit,Length,m,Maximum outer diameter of a submersible pump,Pump type: Submersible non-clog/vortex,,Pump info
30203,Pump power rating,type_specific,,Pump,pump,Unit,Power,W,"Power consumed by a pump operating under normal pressure and flow conditions, as defined by the manufacturer",Pump type is not Manual pump,,Pump info
30204,Pump motor configuration,type_specific,,Pump,pump,Choice,,,"Whether the motor and pump should be tracked as a single asset or as separate assets; in cases where the motor is separate from the pump, this generally means that motors are interchangeable between pumps of a similar design",Pump type is not Manual pump,,Pump info
30205,Pump motor voltage type,type_specific,,Pump,pump,Choice,,,Type of electrical power required by the pump,Pump motor configuration: Integrated with pump,,Pump motor data
30206,Pump motor voltage,type_specific,,Pump,pump,Unit,Voltage,V,"Normal operating voltage of the pump, as recommended by the manufacturer",Pump motor configuration: Integrated with pump,,Pump motor data
30207,Pump motor max current,type_specific,,Pump,pump,Unit,Current,A,Current drawn by the pump when operating at the maximum or full load power rating,Pump motor configuration: Integrated with pump,,Pump motor data
30208,Pump motor max power,type_specific,,Pump,pump,Unit,Power,W,"Maximum, or full load power rating of the pump, as recommended by the manufacturer",Pump motor configuration: Integrated with pump,,Pump motor data
30221,Design flow,type_specific,,Pump,pump,Unit,Flow rate,m³/s,Flow rate of the pump required by the system design under normal operating conditions; should be within the acceptable flow range as defined by the pump curve,,,Pump curve
30222,Design head,type_specific,,Pump,pump,Unit,Pressure,Pa,"Head, or pressure, shown on the pump curve at the design flow rate",,,Pump curve
30223,Maximum flow (Q-max),type_specific,,Pump,pump,Unit,Flow rate,m³/s,Maximum possible flow rate shown on the pump curve,,,Pump curve
30224,Head at maximum flow (H-min),type_specific,,Pump,pump,Unit,Pressure,Pa,"Total head, or pressure, that corresponds to the maximum flow rate on the pump curve; also referred to as the minimum head",,,Pump curve
30225,Minimum flow (Q-min),type_specific,,Pump,pump,Unit,Flow rate,m³/s,Minimum possible flow rate shown on the pump curve,,,Pump curve
30226,Head at minimum flow (H-max),type_specific,,Pump,pump,Unit,Pressure,Pa,"Total head, or pressure, that corresponds to the minimum flow rate on the pump curve; also referred to as the maximum head",,,Pump curve
30227,NPSH-R,type_specific,,Pump,pump,Unit,Pressure,Pa,Net positive suction head required (or minimum) by the suction side of the pump in order to prevent cavitation and evaporation (flashing),,,Pump curve
30301,Tank type,type_specific,,Tank,tank,Choice,,,Function or purpose of the tank within the conveyance network or treatment facility,,,Tank info
30302,Tank material,type_specific,,Tank,tank,Choice,,,Main material of construction used in the tank,,,Tank info
30303,Tank volume,type_specific,,Tank,tank,Unit,Volume,m³,Useful volume of the tank which can be supplied between the minimum and maximum operating levels,,,Tank info
30304,Tank shape,type_specific,,Tank,tank,Choice,,,Basic shape or form factor of the tank,,,Tank info
30311,Tank diameter,type_specific,,Tank,tank,Unit,Length,m,Diameter of the base of a cylindrical tank,Tank shape: Cylindrical,,Tank dimensions
30312,Tank height,type_specific,,Tank,tank,Unit,Length,m,"Distance from the bottom to the top of the tank, measured from outside",,,Tank dimensions
30313,Tank length,type_specific,,Tank,tank,Unit,Length,m,Length of the longest side of the base of a rectangular tank,Tank shape: Rectangular,,Tank dimensions
30314,Tank width,type_specific,,Tank,tank,Unit,Length,m,Length of the shortest side of the base of a rectangular tank,Tank shape: Rectangular,,Tank dimensions
