code,name,scope,asset_class,asset_type,asset_type_id,data_type,unit_quantity,si_unit,description,applicability,required,attribute_group
30315,Height of tank bottom,type_specific,Vertical,Tank,tank,Unit,Length,,Distance from the ground level to the bottom of the inside of the tank; negative values are used for depths below the ground,,,Tank dimensions
30316,Minimum water level,type_specific,Vertical,Tank,tank,Unit,Length,,"Minimum water level allowed in the tank, measured from the tank bottom; this may be the height of the outlet or the minimum height allowed by a filling control",,,Tank dimensions
30317,Maximum water level,type_specific,Vertical,Tank,tank,Unit,Length,,"Maximum water level allowed in the tank, measured from the tank bottom; this may be the height of the overflow pipe or the maximum height allowed by a filling control",,,Tank dimensions
30321,Filling control installed,type_specific,Vertical,Tank,tank,Checkbox,,,Control is installed to ensure a desired range of tank fill levels,,,Tank details
30322,Type of filling control,type_specific,Vertical,Tank,tank,Choice,,,Method or device used to maintain the water level in the tank by controlling the influent or effluent flow rate,Filling control installed: True,,Tank details
30323,Fill level indicator installed,type_specific,Vertical,Tank,tank,Checkbox,,,Device is installed that provides a visual or electronic measurement of the fill level,,,Tank details
30401,Power type,type_specific,Vertical,Power,power,Choice,,,Categorization of the power generating device based on design or principles of operation,,,Power info
30402,Rated power output,type_specific,Vertical,Power,power,Unit,Power,,Power output that can be sustained for long periods of time; for generators this is the continuous power rating,,,Power info
30403,Maximum power output,type_specific,Vertical,Power,power,Unit,Power,,"Power output that can be provided for short periods of time in response to surges in demand; for generators, sometimes referred to as the standby or intermittent power rating",,,Power info
30404,Nominal voltage,type_specific,Vertical,Power,power,Unit,Voltage,,Voltage assigned to a system or circuit of a given voltage class for the purpose of convenient designation; the actual operating voltage may vary above or below this value,,,Power info
30405,Rated voltage,type_specific,Vertical,Power,power,Unit,Voltage,,Maximum voltage at which the power system can be operated within thermal and safety limits,,,Power info
30406,Maximum current,type_specific,Vertical,Power,power,Unit,Current,,"Maximum safe current, or starting current, that can be supplied for a short period of time",,,Power info
30407,Type of current,type_specific,Vertical,Power,power,Choice,,,Mode of transmission for electrical current (AC/DC),,,Power info
30408,Frequency of current,type_specific,Vertical,Power,power,Choice,,,"Frequency at which the voltage rises to a peak, reverses, and rises to a peak again","Type of current: Single phase AC, Three phase AC",,Power info
30421,Generator fuel,type_specific,Vertical,Power,power,Choice,,,Type of fuel required by the generator,Power type: Generator,,Generator data
30422,Generator apparent power,type_specific,Vertical,Power,power,Unit,Power,,"Product of the voltage and current provided in an AC power system, which does not account for the reactive power required by inductive loads in the circuit; sometimes referred to by its most common unit of measurement: kVA","Type of current: Single phase AC, Three phase AC",,Generator data
30423,Engine cooling system,type_specific,Vertical,Power,power,Choice,,,Type of cooling system used by the generator engine,Power type: Generator,,Generator data
30424,PV panel type,type_specific,Vertical,Power,power,Choice,,,Photovoltaic panel type,Power type: Solar,,Solar power data
30425,Total number of PV panels,type_specific,Vertical,Power,power,Number,,,Total number of photovoltaic panels installed in the power system,Power type: Solar,,Solar power data
30501,Treatment type,type_specific,Vertical,Treatment,treatment,Choice,,,Categorization of treatment process by treatment method or objective,,,Treatment info
30521,Chlorine type,type_specific,Vertical,Treatment,treatment,Choice,,,Chemical form of chlorine used in a treatment process,,,Chlorination data
30522,Dosing method,type_specific,Vertical,Treatment,treatment,Choice,,,Method used to add chlorine to water to be treated,"Chlorination type: Sodium hypochlorite (bleach), Calcium hypochlorite, Chloramine",,Chlorination data
30601,Meter ID,type_specific,Vertical,Meter,meter,Text,,,Identification number of code used by the service provider to identify the meter,,,Meter info
30602,Meter type,type_specific,Vertical,Meter,meter,Choice,,,Type of metering performed: bulk metering of the distribution network versus domestic or commercial metering,,,Meter info
30603,Meter design,type_specific,Vertical,Meter,meter,Choice,,,Design or operating principle of the meter,,,Meter info
30604,Minimum measurable flow rate,type_specific,Vertical,Meter,meter,Unit,Flow rate,,Lowest flow rate that can be measured by the meter,,,Meter info
30605,Meter measurement type,type_specific,Vertical,Meter,meter,Choice,,,"Type of measurement displayed by the meter (total volume, flow rate, or both)",,,Meter info
30701,Electrical type,type_specific,Vertical,Electrical,electrical,Choice,,,Type of electrical asset,,,Electrical info
30702,Electrical power device type,type_specific,Vertical,Electrical,electrical,Choice,,,Classification of electrical power device based on purpose or mode of operation,Electrical type: Power device,,Electrical info
30801,Valve type,type_specific,Vertical,Valve,valve,Choice,,,Purpose or operating principle of a valve,,,Valve info
30802,Date of last actuation,type_specific,Vertical,Valve,valve,Date,,,Most recent date that the valve was actuated to prevent degradation and verify functionality,,,Valve info
30901,Hydrant type,type_specific,Vertical,Hydrant,hydrant,Choice,,,Type of hydrant design,,,Hydrant info
31001,Junction type,type_specific,Vertical,Junction,junction,Choice,,,,,,Junction info
31101,Sampling point type,type_specific,Vertical,Sampling point,sampling_point,Choice,,,Type of facility that allows for collection of water quality samples,,,Sampling point info
31201,Sensor type,type_specific,Vertical,Sensor,sensor,Choice,,,,,,Sensor info
31301,Analyzer type,type_specific,Vertical,Analyzer,analyzer,Text,,,Short description of the type or purpose of the analyzer,,,Analyzer info
31401,Structure type,type_specific,Vertical,Structure,structure,Choice,,,,,,Structure info
31411,Perimeter type,type_specific,Vertical,Structure,structure,Choice,,,Type of perimeter design,Structure type: Perimeter,,Perimeter data
31412,Perimeter total length,type_specific,Vertical,Structure,structure,Unit,Length,,Total length of the entire perimeter that is being defined as an asset,Structure type: Perimeter,,Perimeter data
31413,Perimeter height,type_specific,Vertical,Structure,structure,Unit,Length,,Typical or minimum height of the perimeter,Structure type: Perimeter,,Perimeter data
31414,Perimeter setback distance,type_specific,Vertical,Structure,structure,Unit,Length,,Typical or minimum distance from the perimeter from the structure or equipment it is designed to protect,Structure type: Perimeter,,Perimeter data
31501,Water point type,type_specific,Vertical,Water point,water_point,Choice,,,Type of technology used to access water,,,Water point info
31502,Agricultural use,type_specific,Vertical,Water point,water_point,Checkbox,,,Water point provides water that is primarily for agricultural use,,,Water point info
31503,Livestock use,type_specific,Vertical,Water point,water_point,Checkbox,,,Water point provides water that is primarily for use by livestock,,,Water point info
31504,Meter installed,type_specific,Vertical,Water point,water_point,Checkbox,,,Meter is installed at this water point,,,Water point info
31505,Number of taps,type_specific,Vertical,Water point,water_point,Number,,,"Total number of taps, such as faucets or spigots, available at a kiosk or public tap","Water point type: Kiosk, Public tap",,Water point info
31506,Kiosk tank installed,type_specific,Vertical,Water point,water_point,Checkbox,,,Presence of a tank at the kiosk for storing water during planned or unplanned outages,Water point type: Kiosk,,Water point info
31507,Connection type,type_specific,Vertical,Water point,water_point,Choice,,,Categorization of piped connections based on the type of user or customer,Water point type: Piped connection,,Water point info
31508,Connection diameter,type_specific,Vertical,Water point,water_point,Unit,Length,,The diameter of pipe used for the customer connection,Water point type: Piped connection,,Water point info
39901,Other vertical asset type,type_specific,Vertical,Other vertical,other_vertical,Text,,,Description or categorization of the other type of vertical asset,,,Other vertical info
40101,Pipe type,type_specific,Horizontal,Pipe,pipe,Choice,,,Category of water supply pipe type,,,Pipe info
40102,Pipe color,type_specific,Horizontal,Pipe,pipe,Text,,,Color or pattern painted on pipe to designate the type of fluid,,,Pipe info
40103,Nominal pressure,type_specific,Horizontal,Pipe,pipe,Unit,Pressure,,Numerical designation of design pressure that is a convenient round number for reference purposes,,,Pipe info
40104,Pipe depth below ground,type_specific,Horizontal,Pipe,pipe,Unit,Length,,Depth of the pipe below the local ground surface,,,Pipe info
